changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
"['examples/weak_cryptographic_key_sizes.py', 'bandit/plugins/weak_cryptographic_key.py']",1528,MERGED,355328,0,0,0.0,0.0,0
['nova/tests/unit/objects/test_ec2.py'],4690,MERGED,142275,0,0,0.0,0.0,0
"['templates/local_settings.py.erb', 'manifests/dashboard.pp', 'spec/classes/murano_dashboard_spec.rb']",13752,MERGED,333143,1,1,1.0,1.0,3
"['cyborg/api/controllers/v2/arqs.py', 'cyborg/objects/arq.py', 'cyborg/objects/ext_arq.py']",21672,MERGED,670468,0,0,0.0,0.0,0
"['nova/tests/unit/db/test_db_api.py', 'nova/db/sqlalchemy/api.py']",6873,MERGED,604373,5,10,7.5,7.5,2
"['doc/common/source/locale/ru/LC_MESSAGES/common.po', 'doc/install-guide/source/locale/zh_CN/LC_MESSAGES/install-guide.po', 'doc/install-guide/source/locale/ko_KR/LC_MESSAGES/install-guide.po']",11131,MERGED,363600,0,0,0.0,0.0,0
['test'],3153,ABANDONED,299020,8,8,8.0,8.0,1
['deliverables/xena/monasca-tempest-plugin.yaml'],8556,MERGED,885700,0,0,0.0,0.0,0
['attributes/default.rb'],2589,MERGED,59245,0,0,0.0,0.0,0
['goals/ocata/remove-incubated-oslo-code.rst'],8213,MERGED,398766,0,0,0.0,0.0,0
['jenkins/jobs/devstack-gate.yaml'],14428,MERGED,173408,3,3,3.0,3.0,1
['metadata.json'],14985,MERGED,562650,1,1,1.0,1.0,1
"['ansible/roles/kolla-bifrost/tasks/main.yml', 'kayobe/plugins/action/merge_yaml.py', 'ansible/roles/kolla-bifrost/templates/kolla/config/bifrost/dib.yml']",14200,MERGED,880876,0,0,0.0,0.0,0
['neutron/plugins/ml2/plugin.py'],16688,MERGED,649623,31,31,31.0,31.0,1
['tox.ini'],32067,MERGED,750691,31,31,31.0,31.0,1
"['manifests/agent/notification.pp', 'spec/classes/ceilometer_agent_notification_spec.rb']",8064,MERGED,478763,0,1,0.5,0.5,1
"['heat/tests/test_engine_service.py', 'heat/tests/test_stack_lock.py', 'heat/objects/stack_lock.py', 'heat/engine/stack_lock.py']",10487,MERGED,165363,0,0,0.0,0.0,0
['doc/source/admin/configuration/hypervisor-xen-api.rst'],25638,MERGED,568444,0,0,0.0,0.0,0
['test-requirements.txt'],6547,MERGED,715986,0,0,0.0,0.0,0
['watcher/decision_engine/scope/compute.py'],26879,ABANDONED,890175,0,0,0.0,0.0,0
"['taskflow/engines/action_engine/engine.py', 'taskflow/utils/graph_utils.py']",7349,MERGED,47842,0,0,0.0,0.0,0
['etc/openstack_deploy/conf.d/swift.yml.example'],6816,MERGED,301036,0,0,0.0,0.0,0
"['taskflow/engines/action_engine/engine.py', 'taskflow/tests/unit/action_engine/test_creation.py', 'taskflow/tests/unit/test_engines.py', 'taskflow/tests/unit/test_arguments_passing.py', 'taskflow/tests/unit/test_suspend.py', 'taskflow/tests/unit/test_retries.py', 'taskflow/tests/unit/action_engine/test_process_executor.py']",8122,MERGED,916147,0,3,0.0,0.571428571,2
"['keystone/cmd/cli.py', 'keystone/common/sql/upgrades.py']",15334,MERGED,825843,0,5,2.5,2.5,1
"['heat/engine/resources/volume.py', 'heat/tests/test_volume.py']",4571,MERGED,25867,0,0,0.0,0.0,0
"['neutron/tests/unit/db/test_ovn_l3_hamode_db.py', 'neutron/db/ovn_l3_hamode_db.py']",16688,MERGED,913735,0,1,0.5,0.5,1
