number,worked_revisions,reason,comment,reviewer_suggest
572986,14.0,Configuration,,0.0
573496,5.0,Dependency,,0.0
574853,1.0,Configuration,,0.0
578742,3.0,Configuration,,0.0
578963,1.0,Dependency,,0.0
582288,2.0,Refactoring,The developer was working on two depenednt changes at the same time.,0.0
583262,3.0,Code enhancement,The developer was working on two depenednt changes at the same time.,0.0
588562,1.0,Dependency,,0.0
593489,1.0,Configuration,,0.0
596280,1.0,Dependency,,0.0
600901,2.0,Tests,,0.0
601231,2.0,Configuration,Deps was added 3min after 1st patch,0.0
601488,1.0,Dependency,,0.0
603275,8.0,Tests,,0.0
604360,1.0,New features,,0.0
609567,2.0,Docs,The developer mentioned the dep in 1st path and was added instantly to 2nd patch: Yup this was discovered when Thierry tried to switch the election repo to use openstackdocstheme in https://review.openstack.org/#/c/607538/,0.0
609846,2.0,Configuration,added 8min of the 1st patch,0.0
609956,1.0,Renaming,,0.0
609960,1.0,Docs,,0.0
613158,1.0,Tests,,0.0
613503,4.0,Code enhancement,,0.0
615898,2.0,Configuration,added 31 min after 1st patch,0.0
617195,2.0,Dependency,added 16 min after 1st patch,0.0
619984,2.0,Configuration,Uploaded 8min after 1st patch,0.0
626648,1.0,Refactoring,,0.0
626733,1.0,Refactoring,,0.0
630514,1.0,Configuration,,0.0
634885,2.0,Configuration,added 1h after 1st patch,0.0
635179,1.0,Refactoring,added 1h after 1st patch,0.0
637160,2.0,Configuration,added 1m after 1st patch,0.0
637203,2.0,"New features,Tests",added 1m after 1st patch,0.0
638722,1.0,Configuration,,0.0
639847,1.0,Configuration,,0.0
641307,1.0,Configuration,,0.0
642321,2.0,Refactoring,,0.0
643200,1.0,Refactoring,,0.0
643887,1.0,Configuration,,0.0
648104,2.0,Configuration,added 3min after 1st patch,0.0
648413,2.0,New features,added 8min after 1st patch,0.0
650934,1.0,Moving resources,,0.0
652342,1.0,"Configuration,Renaming",,0.0
654580,1.0,Refactoring,,0.0
656124,1.0,Refactoring,,0.0
657577,1.0,Code enhancement,,0.0
658434,1.0,Renaming,,0.0
658523,12.0,"Configuration,Renaming",Deps have been added across different patches,0.0
660385,1.0,Refactoring,"Deps-On is irrelevant, commit msg mentions: The Depends-On isn't really necessary, but it's here to make sure this doesn't merge until we _really_ have killed cells v1.",0.0
662734,1.0,Renaming,,0.0
664542,6.0,New features,,0.0
665827,2.0,Refactoring,,0.0
666183,2.0,Refactoring,,0.0
667577,1.0,Refactoring,,0.0
