number,worked_revisions,reason,comment,reviewer_suggest,mohammed_category
156691,1,Refactoring,,0,Refactoring
161355,1,Code enhancement,,0,Code enhancement
175394,1,Code enhancement,,0,Code enhancement
181260,1,Tests,,0,Tests
182072,1,Configuration,,0,Configuration
187015,1,Dependency,,0,Dependency
188912,1,New features,,0,New features
193455,1,Dependency,,0,Dependency
194999,2,Configuration,"Missing pipeline-job, the developer is unfamiliar with the project as this is change his first change in the project ('Requirements'). R1: I don't see requirements check jobs configured for these projects in openstack-infra/project-config. Please set those up first and make sure you're in sync with the global requirements, before adding this patch. R2: There's no check-requirements job for these projects. Please add the jobs to project-config first. D: I sent a patch adding check-requirements jobs as you requested: [216161] Please let me know if anything else is missing.",1,Configuration
196783,1,Configuration,,0,Configuration
197212,3,Refactoring,,0,Dependency
197672,1,Renaming,"Missing dependency: Developer had few changes in the change's project (13/926), hence, they are unfamiliar. R1: Doug, this change has a depends-on the renaming change... D: OK, I missed the depends-on there.",1,Renaming
199846,3,"Code enhancement,Tests","Developer is unfamiliar with project as they have only one change, hence, the reviewer who is more familiar in the Cinder project (35 changes) suggested adding such a dependency 'Need a cross project dependency on the change in Cinder: [url]'",1,Code enhancement
202983,1,Code enhancement,,0,Code enhancement
219448,1,Tests,,0,Tests
219825,2,Configuration,,0,Configuration
228530,2,Docs,Deps was suggested by the change's owner in 1st patch. It depends on the https://review.openstack.org/#/c/228488/,0,Docs
230340,1,Test,update_preview functional test,,Test
232785,5,Configuration,"But it depnds on the understanding of the task, commit message of the change with the depanecy added contain more detailed descriotion than the first change. I think the understanding the consequences of changed files plays important role",0,Configuration
234312,1,Configuration,,0,Configuration
234764,1,Renaming,,0,Test
246322,21,Refactoring,"The change seems to be complex (+1604, -6445 lines added and deleted, respectively), there have been many build failures and received huge assistance from the reviewer making them unfamiliar with the project as they have only (5/109) changes",0,Refactoring
248853,2,Dependency,,0,Configuration
251865,1,Dependency,,0,Dependency
257350,4,Tests,,0,Tests
259097,17,Code enhancement,"The change may be missed because the change is quite complex (-28, +98 lines of code). One reviewer explicitely mentioned that 'Also, I'd split this into separate patches to deal with create and update, that would make this easier to digest from the review side, and making sure we have adequate unit test coverage for each function.'",0,Code enhancement
260709,1,Tests,,0,Tests
261994,3,Configuration,Inconsistent Depends-On assignment. Depends-On have been altering across different patches.,0,Configuration
263785,5,Code enhancement,"Developer is unaware of chnages without proper changes as stated by 'I want to +2 this, but I'm worried about communicating the change without good release notes.'",0,Code enhancement
272298,11,Configuration,,0,Configuration
275669,1,Refactoring,,0,Refactoring
280315,2,Dependency,No missing deps: Needed_by replaced by Depends-On,0,Configuration
283736,1,Tests,,0,Tests
285233,5,New features,Complex change (+640): A reviewer Please left the comments Depends-On: I328a698f2109841e1e122e17fea4b345c4179161 to the commit message,1,New features
286310,1,Code enhancement,,0,Code enhancement
288104,1,Configuration,,0,Configuration
290275,1,New features,,0,New features
292201,1,Docs,,0,Docs
292909,2,Code enhancement,,0,Tests
