Source,Target,Source_repo,Target_repo
26005,26006,oslo-incubator,ceilometer
66146,64831,pbr,requirements
66453,71359,neutron,devstack
153227,83150,project-config,oslo.messaging
178352,86978,project-config,grenade
95339,96143,tempest,devstack
96377,96380,requirements,heat
106336,97317,tempest,grenade
99390,99333,grenade,devstack-gate
103101,99333,grenade,devstack-gate
102423,100381,trove-integration,trove
277583,103368,requirements,keystone
105524,105510,horizon,requirements
105625,105510,horizon,requirements
105626,105510,horizon,requirements
105627,105510,horizon,requirements
105628,105510,horizon,requirements
105629,105510,horizon,requirements
105630,105510,horizon,requirements
105631,105510,horizon,requirements
156717,105510,horizon,requirements
108371,108443,devstack,trove-integration
89873,110704,trove,python-troveclient
89873,110705,trove,trove-integration
110704,110705,python-troveclient,trove-integration
89873,110711,trove,devstack
110704,110711,python-troveclient,devstack
110925,110711,python-troveclient,devstack
105758,113745,trove,python-troveclient
117925,118521,python-troveclient,trove
127864,122287,requirements,oslo.vmware
135692,122287,requirements,oslo.vmware
135721,122287,requirements,oslo.vmware
126189,126182,neutron,python-neutronclient
129636,129658,os-apply-config,tripleo-image-elements
161723,129795,os-client-config,python-openstackclient
131198,130018,devstack,devstack-gate
131184,130018,requirements,devstack-gate
131184,131198,requirements,devstack
132599,131601,oslo-incubator,tempest
132048,132059,tripleo-heat-templates,tripleo-incubator
132546,132451,project-config,devstack
134146,134005,tripleo-heat-templates,tripleo-image-elements
157985,134052,requirements,hacking
134332,134617,nova,tempest
134924,134685,tempest,devstack
134685,134714,devstack,devstack-gate
134972,134985,devstack,tempest
134975,134985,devstack,tempest
140313,136458,nova,python-novaclient
161112,136869,nova,nova
136880,136882,tripleo-incubator,tripleo-heat-templates
137079,137050,nova,project-config
137514,137515,glance_store,glance
137936,137935,devstack-gate,project-config
138949,138951,devstack-gate,project-config
136039,139775,glance_store,glance
327993,140045,os-vif,nova
344433,140045,os-vif,nova
149068,140128,neutron,devstack-gate
140128,140163,devstack-gate,project-config
161112,140313,nova,nova
140493,140482,neutron,devstack
167003,140840,diskimage-builder,project-config
140920,140921,requirements,tooz
141151,140921,devstack-gate,tooz
141653,141654,oslo-incubator,nova
161079,141825,requirements,glance
70286,142335,neutron,tempest
164893,142432,zaqar,zaqar
143351,143346,requirements,tempest
143244,143516,tripleo-heat-templates,tripleo-incubator
168187,144248,requirements,keystonemiddleware
194726,145703,devstack,cinder
216690,145703,grenade,cinder
145925,145932,requirements,project-config
146006,146005,requirements,nova
146015,146005,tempest,nova
146006,146015,requirements,tempest
146006,146035,requirements,glance
146980,146981,requirements,project-config
148111,146981,requirements,project-config
148112,146981,requirements,project-config
146980,146982,requirements,pbr
148111,146982,requirements,pbr
148112,146982,requirements,pbr
146981,146982,project-config,pbr
147726,147077,cinder,python-cinderclient
147248,147215,neutron-fwaas,neutron
152292,147215,neutron-lbaas,neutron
147240,147215,neutron-vpnaas,neutron
157355,147396,neutron,neutron-fwaas
147751,147756,nova,rally
152872,148546,glance,glance
148326,148688,glance,python-glanceclient
148512,148981,glance,python-glanceclient
138599,149948,nova,nova
201265,150057,oslo.db,keystone
160068,150267,devstack,nova
148884,150722,neutron-fwaas,neutron
153080,151037,devstack,requirements
154216,151037,devstack,requirements
154217,151037,devstack,requirements
153237,152690,requirements,openstack-manuals
155540,153079,neutron-lbaas,devstack
174394,153192,project-config,heat
153543,153757,neutron-vpnaas,neutron
147248,153913,neutron-fwaas,networking-ofagent
152292,153913,neutron-lbaas,networking-ofagent
147240,153913,neutron-vpnaas,networking-ofagent
161456,154131,project-config,neutron
153677,154155,devstack-gate,project-config
165246,154289,tempest,neutron
153081,154575,grenade,devstack
153702,154575,grenade,devstack
154620,154692,heat,python-heatclient
152994,154994,devstack,project-config
155081,155060,cinder,taskflow
155357,155080,devstack,ironic-python-agent
156690,155212,neutron-vpnaas,neutron
156602,155374,neutron-vpnaas,neutron
154407,155455,oslo.versionedobjects,project-config
156863,155552,os-brick,cinder
155727,155728,ironic-python-agent,ironic
164370,155868,governance,project-config
156690,155906,neutron-vpnaas,neutron
156691,155906,neutron-vpnaas,neutron
156692,155906,neutron-fwaas,neutron
156694,155906,neutron-lbaas,neutron
155979,155980,oslo.policy,oslo-incubator
155996,156039,python-saharaclient,sahara
155051,156133,neutron,neutron-lbaas
155051,156132,neutron,neutron-lbaas
155051,156131,neutron,neutron-lbaas
157057,156264,devstack-gate,devstack
156315,156328,trove,project-config
155957,156421,devstack-gate,project-config
156580,156573,glance,glance_store
156719,156676,python-swiftclient,project-config
155212,156691,neutron,neutron-vpnaas
145829,156690,neutron,neutron-vpnaas
155212,156692,neutron,neutron-fwaas
145829,156694,neutron,neutron-lbaas
155738,156807,governance,project-config
135768,157054,devstack-gate,tempest
158579,157304,fuel-web,fuel-library
160661,157481,requirements,horizon
157557,157559,neutron-fwaas,neutron
157577,157580,devstack,devstack-gate
157469,157723,ironic-python-agent,ironic
157972,157973,trove,trove
206771,158013,project-config,requirements
137661,158338,rally,rally
158525,158415,devstack-gate,project-config
160190,158463,project-config,shade
158486,158468,neutron-fwaas,neutron
158487,158468,neutron-vpnaas,neutron
174473,158511,tempest,devstack
155540,158512,neutron-lbaas,devstack
156690,158585,neutron-vpnaas,networking-ofagent
156691,158585,neutron-vpnaas,networking-ofagent
156692,158585,neutron-fwaas,networking-ofagent
156694,158585,neutron-lbaas,networking-ofagent
160423,158852,nova,tempest
158863,158865,neutron,neutron-fwaas
158897,158893,requirements,python-ironicclient
158674,159032,fuel-main,fuel-web
155728,159178,ironic,devstack
152171,159218,neutron-lbaas,python-neutronclient
159293,159295,requirements,nova
159472,159480,os-client-config,shade
159380,159514,requirements,nova
159380,159577,requirements,nova
159673,159674,os-client-config,shade
159646,159685,oslo-incubator,nova
167765,159685,oslo-incubator,nova
170467,159685,oslo-incubator,nova
160007,160011,oslo.log,nova
160348,160149,nova,devstack
281045,160224,ironic-lib,ironic-python-agent
137642,160305,fuel-web,python-fuelclient
160389,160419,release-tools,project-config
160600,160560,project-config,openstack-ansible
158189,160625,neutron-lbaas,neutron-lbaas
160644,160625,neutron-lbaas,neutron-lbaas
149068,160628,neutron,neutron
193756,160699,neutron-fwaas,neutron
193755,160699,neutron-lbaas,neutron
193754,160699,neutron-vpnaas,neutron
168701,160856,nova,devstack
178442,160856,nova,devstack
168229,160856,tempest,devstack
161877,160856,devstack,devstack
161085,160856,neutron,devstack
160886,160893,devstack,project-config
126309,160924,nova,tempest
215160,160924,nova,tempest
160548,160933,project-config,devstack-gate
160600,160999,project-config,openstack-ansible
160600,161000,project-config,openstack-ansible
161009,161015,governance,project-config
161015,161015,governance,project-config
