Feat,Fold0,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9
has_feature_addition,,,,,,,,,,
cross_project_changes,,,,,,,,,,
num_file_types,,,,,,,,,,
is_preventive,,,,,,,,,,
last_mth_cro_proj_nbr,,,,,,,,,,
project_changes_owner,1,,,,,,,,,
whole_changes_owner,0,,,,,,,,,
is_refactoring,,,,,,,,,,
cross_project_changes_owner,,,,,,,,,,
whole_within_project_changes,1,,,,,,,,,
is_merge,,,,,,,,,,
num_directory_files,,,,,,,,,,
within_project_changes,1,,,,,,,,,
is_corrective,1,,,,,,,,,
num_file_changes,1,,,,,,,,,
project_age,1,,,,,,,,,
is_non_functional,1,,,,,,,,,
subject_length,1,,,,,,,,,
within_project_changes_owner,0,,,,,,,,,
avg_num_dev_modified_files,1,,,,,,,,,
ratio_dep_chan_owner,1,,,,,,,,,
projects_contributed_owner,1,,,,,,,,,
