Developer,Classifier,Precision,Recall,F1,F2,AUC,Brier,AUC Scores,Precision Scores,F1 Scores,F2 Scores,Recall Scores,Brier Scores,Top3_Precision,Top3_Recall,Top5_Precision,Top5_Recall,Top7_Precision,Top7_Recall,Top10_Precision,Top10_Recall,Top20_Precision,Top20_Recall,Top30_Precision,Top30_Recall,Top40_Precision,Top40_Recall,Top50_Precision,Top50_Recall,Top60_Precision,Top60_Recall,Top70_Precision,Top70_Recall,Top80_Precision,Top80_Recall,Top90_Precision,Top90_Recall,Top100_Precision,Top100_Recall
All,XGBoost,0.03144768720018923,0.876267437258346,0.060609678064343364,0.13670682171097065,0.91894415429062,0.03850507708284195,"[0.914834179703054, 0.8716961172575244, 0.8906170953457963, 0.9187578639557644, 0.9356742074105895, 0.9016387323638185, 0.9384734058074371, 0.9073865932780673, 0.9554639649215861, 0.9548993828625628]","[0.02811376266753841, 0.019170075978959672, 0.029850746268656716, 0.03002309468822171, 0.03510696653867252, 0.03882863340563991, 0.04303582785668857, 0.03924878666385313, 0.027791814047498736, 0.023307163886162906]","[0.05447347585114806, 0.03744719716862656, 0.057601166605905946, 0.05806562446315066, 0.0676056338028169, 0.074212271973466, 0.08218623481781377, 0.07503025413473174, 0.053987730061349694, 0.04548719176442423]","[0.12452939472922096, 0.08750400170739515, 0.1302555647155812, 0.13209316867281537, 0.15206716299699033, 0.163739480424442, 0.1809591727580674, 0.16562778272484416, 0.12426570266606417, 0.10602678571428571]","[0.8730964467005076, 0.803921568627451, 0.8186528497409327, 0.8802083333333334, 0.909952606635071, 0.8364485981308412, 0.9103139013452914, 0.8493150684931506, 0.9401709401709402, 0.9405940594059405]","[0.043548022434050745, 0.060728511643653074, 0.03762079403888695, 0.0428081790713834, 0.038683476253779964, 0.03337967322899383, 0.0334597729989816, 0.03473453003105355, 0.029270181619388932, 0.030817629508247405]",0.3333333333333333,1.0,0.2,1.0,0.14285714285714285,1.0,0.1,1.0,0.05,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03333333333333333,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0
All,AdaBoost,0.010906410323192752,0.8737750908571048,0.021528963262201398,0.051803809314914226,0.87923940111564,0.1153150767404217,"[0.8999236517317744, 0.7357372237561735, 0.8763866742144207, 0.9009481422005198, 0.9011630694757711, 0.8751595529578691, 0.9125250276707765, 0.8684131897861643, 0.9086811305951494, 0.9134563487677815]","[0.013554100885637273, 0.004832609609188962, 0.011633645914122541, 0.012335236484105167, 0.01288244766505636, 0.012900951709552345, 0.014076881429344884, 0.011591343486034897, 0.008299077018537191, 0.0069578090303478906]","[0.026703079957517827, 0.009596662030598052, 0.022954924874791317, 0.024341052924403646, 0.02540522659609659, 0.025418431835544136, 0.0277351823454897, 0.022873828932960215, 0.0164488854727133, 0.013812357651899199]","[0.06389312422856314, 0.023491760860683643, 0.055165496489468405, 0.05850885991307255, 0.06096012192024384, 0.060833721162156774, 0.06637732958897115, 0.05498683825680024, 0.04004191303046179, 0.033778927698720713]","[0.8934010152284264, 0.6764705882352942, 0.8549222797927462, 0.9114583333333334, 0.909952606635071, 0.8551401869158879, 0.9327354260089686, 0.8584474885844748, 0.9145299145299145, 0.9306930693069307]","[0.0935724548365217, 0.2051703149872867, 0.10220922109675167, 0.10953053879125255, 0.10759937475348048, 0.10488512190382229, 0.10761885082579369, 0.12165416950693024, 0.09715726173844379, 0.10375345896393402]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,RF,0.04913047812418403,0.7464685245415149,0.09189728753594538,0.19266157265923006,0.8631422558759629,0.02052707124050204,"[0.8086879346379039, 0.769706181505258, 0.8139603345714536, 0.8790487358375492, 0.8953518999384419, 0.8454718233884136, 0.882116708077394, 0.8544142645920066, 0.9312186880487702, 0.9514459881624373]","[0.0505663430420712, 0.02784445511281805, 0.04409171075837742, 0.048216007714561235, 0.05964422741541681, 0.05557586837294333, 0.05930193154862758, 0.06553998351195384, 0.041886945912972755, 0.03863730785209805]","[0.09366804046459348, 0.05308924485125858, 0.08256274768824307, 0.09082652134423251, 0.1111111111111111, 0.10308579179382842, 0.11027095148078135, 0.12022684310018904, 0.07996894409937888, 0.07416267942583732]","[0.19171779141104295, 0.11641910879164993, 0.17327418907679512, 0.19334880123743234, 0.23039611964430073, 0.21164021164021163, 0.22768670309653916, 0.24076317383403997, 0.1759480696959344, 0.16542155816435433]","[0.6345177664974619, 0.5686274509803921, 0.6476683937823834, 0.78125, 0.8104265402843602, 0.7102803738317757, 0.7847533632286996, 0.726027397260274, 0.8803418803418803, 0.9207920792079208]","[0.017642382560369915, 0.029806023150449105, 0.020214809640237513, 0.02344573440659572, 0.019984514922647655, 0.019769197422903867, 0.020840405590896345, 0.017624782246459136, 0.01799489764927413, 0.017947964815186977]",0.3333333333333333,1.0,0.2,1.0,0.14285714285714285,1.0,0.1,1.0,0.05,1.0,0.03333333333333333,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0
All,MLP,0.01306840950793289,0.7832452302919025,0.025371394979566343,0.058492215216725395,0.8097918840130747,0.16370997373171708,"[0.7456899728656483, 0.7082170670427923, 0.8362899166690044, 0.8582004972333211, 0.8733483007539704, 0.7404492110156957, 0.8325908992174486, 0.8219144825774305, 0.9217510965252004, 0.7594673962302358]","[0.003901966284971054, 0.002621712671158444, 0.018952213347773115, 0.013858891288696905, 0.011775421247804306, 0.027884369403939627, 0.010702709314415021, 0.004891042274219845, 0.010208904433311277, 0.02588686481303931]","[0.007764920828258221, 0.005228935247900298, 0.036939313984168866, 0.02724699221514508, 0.02323193428314722, 0.05287412078583556, 0.021117412815252805, 0.009733138365929447, 0.02019446522064323, 0.04938271604938271]","[0.019125478136953422, 0.012964853826311264, 0.0857948277975242, 0.06481481481481481, 0.05581251927227875, 0.11437565582371459, 0.05074522994838485, 0.02397298818232977, 0.04888204942518331, 0.10843373493975904]","[0.7766497461928934, 0.946078431372549, 0.7253886010362695, 0.8020833333333334, 0.8578199052132701, 0.5093457943925234, 0.7847533632286996, 0.9726027397260274, 0.9230769230769231, 0.5346534653465347]","[0.2851808362445574, 0.5289452643861962, 0.05312027011293515, 0.08585058126371181, 0.11117116853899756, 0.029186660089391154, 0.11972901568934217, 0.32827387714913275, 0.07957237441535564, 0.01606968942755113]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.03333333333333333,1.0,0.025,1.0,0.02,1.0,0.016666666666666666,1.0,0.014285714285714285,1.0,0.0125,1.0,0.012195121951219513,1.0,0.012195121951219513,1.0
Different,AdaBoost,0.0022676357162963066,0.6521604406542816,0.004513034064667166,0.011119655184191312,0.7761970291032478,0.0998200218781111,"[0.658992650398755, 0.6116116346979392, 0.8117490304091505, 0.8407749797187368, 0.8407160070579082, 0.8059873413267863, 0.8671764006761498, 0.8219464170071941, 0.7587911875169397, 0.7442246422229186]","[0.0003630422944273008, 0.00019072322245956667, 0.003129758078159364, 0.0023215322112594312, 0.0026854338364663394, 0.003398759452799728, 0.0033939211101893054, 0.0060521006929216735, 0.000563433186214668, 0.0005776530780656874]","[0.0007254261878853826, 0.0003812719231355803, 0.006232103756105777, 0.004629246920724146, 0.0053520346959490634, 0.006764755623203111, 0.006760309471944716, 0.012005219660722053, 0.001125809175344779, 0.0011541632316570487]","[0.0018086453246518358, 0.0009518732866280841, 0.015378221113881962, 0.011470708725931995, 0.013240799926947312, 0.01667083437526048, 0.016697588126159554, 0.029294387365203362, 0.0028066236317709796, 0.0028768699654775605]","[0.4, 0.4166666666666667, 0.7115384615384616, 0.7777777777777778, 0.7631578947368421, 0.7017543859649122, 0.8333333333333334, 0.7340425531914894, 0.6, 0.5833333333333334]","[0.08205326761129685, 0.1934779239755293, 0.08811822777815116, 0.0962640806504481, 0.08177059626763769, 0.08987061874995218, 0.09900789936730187, 0.09028109001876053, 0.08244221611367068, 0.09491429824836274]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,ET,0.004877211190241732,0.7452384603032599,0.009687385439547388,0.023729790603079986,0.7657210501121464,0.2138614767300205,"[0.7005632265097738, 0.6726779309183043, 0.7521395319106247, 0.7737977921628574, 0.8239430364309515, 0.7309297659143668, 0.780795955755795, 0.7945255883709791, 0.7949105719858149, 0.8329271011619971]","[0.003951057863879684, 0.0032624764235102206, 0.0047489590144189405, 0.005244193928150976, 0.0071499013806706115, 0.005242947865898686, 0.006026206993202999, 0.00628140703517588, 0.003434903047091413, 0.0034300583504179153]","[0.007852822899844843, 0.006491201379380293, 0.00943525229044168, 0.01041703575098324, 0.014176885159082575, 0.010403692578210859, 0.011958977924561099, 0.012464831368638483, 0.006840247131509268, 0.00683290791282152]","[0.01927141613825687, 0.015980024968789013, 0.02313030069390902, 0.02552171950414945, 0.034551231135822084, 0.02541159627773801, 0.02921791125908813, 0.030449610244988864, 0.016882692517154994, 0.016881403290903447]","[0.6294416243654822, 0.6274509803921569, 0.7150259067357513, 0.765625, 0.8246445497630331, 0.6635514018691588, 0.7713004484304933, 0.7990867579908676, 0.7948717948717948, 0.8613861386138614]","[0.22851954227534954, 0.28222803264400603, 0.21085108860169985, 0.21805391816244155, 0.17675631455159013, 0.20190740989879966, 0.2097397901199947, 0.2100204498977505, 0.20505071979590597, 0.19548750135266746]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,1.0,0.011111111111111112,1.0,0.01,1.0
Different,XGBoost,0.006794933566439431,0.5561452959549265,0.01335773695672263,0.03178536915325242,0.7637790029233477,0.028687709095344145,"[0.6337184365529104, 0.6016157184291904, 0.7761276647586122, 0.7769242098304371, 0.8025061724746371, 0.750746112920887, 0.8666147458459875, 0.8537557756490612, 0.8388217756611298, 0.7369594171106236]","[0.0006855575868372943, 0.00047318611987381704, 0.00900360144057623, 0.0056634304207119745, 0.006808510638297872, 0.00916590284142988, 0.011660978384527872, 0.02027027027027027, 0.0024187975120939877, 0.0017991004497751124]","[0.0013679890560875513, 0.0009445843828715365, 0.01773049645390071, 0.011217948717948718, 0.013471793432500701, 0.018018018018018018, 0.02296918767507003, 0.03945111492281304, 0.0048209366391184574, 0.00358530026889752]","[0.0033967391304347825, 0.00234815278647464, 0.0423728813559322, 0.027258566978193146, 0.03263530051672559, 0.04284490145672665, 0.05493033226152197, 0.09126984126984126, 0.011929107021131561, 0.008867868755542418]","[0.3, 0.25, 0.5769230769230769, 0.5833333333333334, 0.631578947368421, 0.5263157894736842, 0.7592592592592593, 0.7340425531914894, 0.7, 0.5]","[0.032612823242965536, 0.04683083780413109, 0.02482245670631987, 0.02959634802491146, 0.026665149446214537, 0.02501931919907574, 0.02611658118378196, 0.026709911284937517, 0.022377947268574082, 0.02612571679252969]",0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.1,1.0,0.05,1.0,0.03333333333333333,1.0,0.03279569892473118,1.0,0.03279569892473118,1.0,0.03279569892473118,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0
Same,RF,0.1303633093279003,0.8219944527129659,0.2242156980332985,0.39581748687916596,0.7636743941719815,0.2882379141077458,"[0.672567436152016, 0.6159328407880724, 0.7063899194871406, 0.7103889429838797, 0.8275825961322385, 0.7970227591021233, 0.7227402227402228, 0.9015825830741528, 0.8266568584104527, 0.8558797828495154]","[0.13043478260869565, 0.09098101265822785, 0.08398744113029827, 0.09772226304188097, 0.12594458438287154, 0.14737991266375547, 0.16686114352392065, 0.1550068587105624, 0.138328530259366, 0.16698656429942418]","[0.2176991150442478, 0.15796703296703296, 0.15123674911660778, 0.17534607778510217, 0.21994134897360704, 0.2516309412861137, 0.2787524366471735, 0.2646370023419204, 0.2397003745318352, 0.28524590163934427]","[0.3636901241868717, 0.2829724409448819, 0.2910772578890098, 0.3350125944584383, 0.3983005841741901, 0.4371761658031088, 0.4664057403783431, 0.4597233523189585, 0.42780748663101603, 0.4960091220068415]","[0.6577540106951871, 0.5989583333333334, 0.7588652482269503, 0.8525641025641025, 0.8670520231213873, 0.8598726114649682, 0.8461538461538461, 0.904, 0.897196261682243, 0.9775280898876404]","[0.3145907473309609, 0.3690547862733293, 0.34187304298320526, 0.417, 0.20920173023987415, 0.2594507269789984, 0.37929267042542286, 0.10073788899582932, 0.23798358733880423, 0.25319396051103366]",0.3333333333333333,1.0,0.225,1.0,0.25,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0
Same,XGBoost,0.09493209822541195,0.9376143905302279,0.17186246803218516,0.33524178636546587,0.7306869689054977,0.4538104979216141,"[0.6520241548946892, 0.5911558173588924, 0.6821035561949471, 0.6626501135994807, 0.8048041706031772, 0.7723439403728001, 0.6877635659686943, 0.8683110165329841, 0.7853459316064704, 0.8003674219228414]","[0.09701492537313433, 0.072686230248307, 0.06527281998980113, 0.07704320666319625, 0.08641975308641975, 0.11144353029169783, 0.13488759367194006, 0.08764044943820225, 0.09680451127819549, 0.12010796221322537]","[0.17522032141005703, 0.13377648525135022, 0.12178877259752617, 0.1425132402503611, 0.158715162966462, 0.1994645247657296, 0.2364963503649635, 0.16027397260273973, 0.17591801878736124, 0.21445783132530122]","[0.3393574297188755, 0.2698625544753604, 0.25346534653465347, 0.2907662082514735, 0.3186646433990895, 0.3791348600508906, 0.43153969099627065, 0.3188010899182561, 0.34517426273458446, 0.4056517775752051]","[0.9037433155080213, 0.8385416666666666, 0.9078014184397163, 0.9487179487179487, 0.9710982658959537, 0.9490445859872612, 0.9585798816568047, 0.936, 0.9626168224299065, 1.0]","[0.5661921708185054, 0.627633955448525, 0.5254768004554512, 0.5936666666666667, 0.3501769563507668, 0.3864297253634895, 0.5361353152229625, 0.19666345845364133, 0.37710042985541226, 0.3786295005807201]",0.3333333333333333,1.0,0.25,1.0,0.25,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0
Different,RF,0.009430937531956523,0.423454088941211,0.01826416762501861,0.04179040303431271,0.7046549938838886,0.014299975077270113,"[0.5943146701615125, 0.530961632606872, 0.6673133957832783, 0.7291817165634611, 0.77003647970452, 0.642226096924312, 0.7885735077029524, 0.7381137320044672, 0.8431931699384365, 0.7426355374490755]","[0.0013080444735120995, 0.00034458993797381116, 0.011531069827033953, 0.009714285714285713, 0.012529832935560859, 0.009345794392523364, 0.015281757402101241, 0.027106658809664112, 0.00396600566572238, 0.003181336161187699]","[0.002599090318388564, 0.0006863417982155113, 0.022318660880347178, 0.019036954087346025, 0.024504084014002333, 0.01812366737739872, 0.0297951582867784, 0.0513679508654383, 0.007887323943661971, 0.006322444678609062]","[0.006373486297004461, 0.001694915254237288, 0.05087620124364047, 0.04487856388595565, 0.057439824945295405, 0.04152418172936004, 0.06926406926406926, 0.11095031355523396, 0.019390581717451522, 0.015511892450879007]","[0.2, 0.08333333333333333, 0.34615384615384615, 0.4722222222222222, 0.5526315789473685, 0.2982456140350877, 0.5925925925925926, 0.48936170212765956, 0.7, 0.5]","[0.01142937983514888, 0.021489347571010044, 0.01177647840730037, 0.014006699551497805, 0.012683962979820967, 0.014093451365350921, 0.015604058253154132, 0.013505993831282394, 0.013635835688567114, 0.014774543289568514]",0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.1,1.0,0.05,1.0,0.03333333333333333,1.0,0.025,1.0,0.02299154334038055,1.0,0.02299154334038055,1.0,0.02299154334038055,1.0,0.02299154334038055,1.0,0.02299154334038055,1.0,0.02299154334038055,1.0
