Source,has_feature_addition,deletions,cross_project_changes,insertions,num_file_types,is_preventive,last_mth_cro_proj_nbr,project_changes_owner,whole_changes_owner,is_refactoring,cross_project_changes_owner,description_word_count,whole_within_project_changes,is_merge,num_directory_files,within_project_changes,is_corrective,description_length,num_file_changes,project_age,is_non_functional,subject_length,within_project_changes_owner,num_dev_modified_files,avg_num_dev_modified_files,code_churn,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,is_dependent,Source_repo,reviewers,is_cross,insertions_target,deletions_target,code_churn_target,num_directory_files_target,is_corrective_target,is_refactoring_target,is_preventive_target,is_non_functional_target,has_feature_addition_target,is_merge_target,cross_project_changes_owner_target,within_project_changes_owner_target,whole_changes_owner_target,projects_contributed_owner_target,project_changes_owner_target,ratio_dep_chan_owner_target,project_age_target,last_mth_dep_proj_nbr_target,last_mth_cro_proj_nbr_target,cross_project_changes_target,within_project_changes_target,whole_within_project_changes_target,num_file_changes_target,num_file_types_target,num_dev_modified_files_target,avg_num_dev_modified_files_target,description_word_count_target,description_length_target,subject_length_target,number_target,Target_repo,Target,Source_date,Target_date,Source_author,Target_author,changed_files_overlap,cmn_dev_pctg,num_shrd_file_tkns,num_shrd_desc_tkns,dev_in_src_change_nbr,src_trgt_co_changed_nbr
43,0,6,0,6,1,1,0,0,0,1,0,5,0,0,1,0,0,29,1,0.0,0,28,0,1,1.0,12,0,0.0,0,0,openstack/keystone,"[3, 5, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-25 15:33:41,2025-07-04 11:04:23,4,8064,1.75,0.0,0.5714285714285714,0.0975609756097561,0,0
46,0,13,0,119,1,1,0,1,1,0,0,14,0,0,2,0,1,87,1,23747.0,0,86,0,1,0.5,132,0,0.0,1,0,openstack/keystone,"[3, 5, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-25 22:09:28,2025-07-04 11:04:23,4,8064,1.6666666666666667,0.0,0.6,0.0975609756097561,0,0
47,0,59,0,64,1,1,0,2,2,0,0,5,0,0,3,0,1,28,1,24049.0,0,27,0,1,0.3333333333333333,123,0,0.0,1,0,openstack/keystone,"[3, 5, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-25 22:14:30,2025-07-04 11:04:23,4,8064,1.5,0.0,0.6666666666666666,0.0975609756097561,0,0
48,0,0,0,168,4,0,0,0,0,0,0,7,0,0,7,0,0,44,1,24795.0,0,43,0,1,0.1428571428571428,168,0,0.0,0,0,openstack/keystone,"[3, 4, 5, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-25 22:26:56,2025-07-04 11:04:23,8,8064,1.5,0.0,0.6666666666666666,0.0975609756097561,0,0
49,0,7,0,12,1,0,0,3,3,0,0,8,0,0,1,0,0,52,2,85508.0,0,51,0,1,1.0,19,0,0.0,1,0,openstack/keystone,"[3, 5, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 15:18:49,2025-07-04 11:04:23,4,8064,1.9090909090909092,0.0,0.5238095238095238,0.0975609756097561,0,0
50,0,3,0,3,1,1,0,4,4,1,0,10,0,0,1,0,0,61,2,85634.0,0,60,0,1,1.0,6,0,0.0,1,0,openstack/keystone,[22381],1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 15:20:55,2025-07-04 11:04:23,4,8064,1.75,0.0,0.5714285714285714,0.0975609756097561,0,0
51,0,3,0,3,1,1,0,5,5,1,0,11,0,0,1,0,0,72,3,85906.0,0,71,0,1,1.0,6,0,0.0,1,0,openstack/keystone,[22381],1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 15:25:27,2025-07-04 11:04:23,4,8064,1.75,0.0,0.5714285714285714,0.0975609756097561,0,0
52,0,11,0,8,2,0,0,1,1,0,0,6,0,0,3,0,0,41,2,85968.0,0,40,0,1,0.3333333333333333,19,0,0.0,1,0,openstack/keystone,"[3, 4, 5, 22381, 24248]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 15:26:29,2025-07-04 11:04:23,8,8064,1.2222222222222223,0.0,0.8181818181818182,0.0975609756097561,0,0
53,0,3,0,3,1,1,0,6,6,1,0,11,0,0,1,0,0,108,4,86164.0,0,52,0,1,1.0,6,0,0.0,1,0,openstack/keystone,[22381],1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 15:29:45,2025-07-04 11:04:23,4,8064,1.75,0.0,0.5714285714285714,0.0975609756097561,0,0
55,0,19,0,19,1,0,0,2,2,0,0,5,0,0,2,0,0,30,4,91975.0,0,29,0,1,0.5,38,0,0.0,1,0,openstack/keystone,"[3, 5, 22381]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:06:36,2025-07-04 11:04:23,8,8064,1.2941176470588236,0.0,0.7727272727272727,0.0975609756097561,0,0
